open,high,low,close,volume,vwap,timestamp,transactions,otc,ny_timestamp
230.98,231.1,230.98,231.08,11551.0,231.0798,1756385340000,81,,2025-08-28 08:49:00-04:00
230.98,231.0,230.9496,231.0,2805.0,230.9831,1756385400000,54,,2025-08-28 08:50:00-04:00
231.1099,231.1099,230.94,230.94,1078.0,230.9998,1756385460000,24,,2025-08-28 08:51:00-04:00
231.01,231.01,230.91,230.93,6624.0,230.9514,1756385520000,82,,2025-08-28 08:52:00-04:00
230.94,230.94,230.91,230.91,1243.0,230.9347,1756385580000,32,,2025-08-28 08:53:00-04:00
230.92,230.92,230.88,230.92,2340.0,230.9035,1756385640000,95,,2025-08-28 08:54:00-04:00
230.92,231.0,230.92,231.0,1618.0,230.9686,1756385700000,46,,2025-08-28 08:55:00-04:00
230.9398,230.94,230.9,230.9,2770.0,230.9209,1756385820000,54,,2025-08-28 08:57:00-04:00
230.94,230.94,230.9,230.92,4898.0,230.9258,1756385880000,65,,2025-08-28 08:58:00-04:00
230.9999,230.9999,230.94,230.94,2375.0,230.9581,1756385940000,27,,2025-08-28 08:59:00-04:00
230.9899,230.9899,230.97,230.97,791.0,230.9784,1756386000000,15,,2025-08-28 09:00:00-04:00
230.97,230.97,230.96,230.97,1213.0,230.9578,1756386060000,43,,2025-08-28 09:01:00-04:00
230.93,230.93,230.91,230.91,1509.0,230.9256,1756386120000,45,,2025-08-28 09:02:00-04:00
230.92,230.95,230.92,230.95,2257.0,230.9415,1756386180000,47,,2025-08-28 09:03:00-04:00
230.95,230.95,230.89,230.94,4512.0,230.9068,1756386240000,65,,2025-08-28 09:04:00-04:00
230.9999,230.9999,230.9999,230.9999,348.0,230.9844,1756386420000,16,,2025-08-28 09:07:00-04:00
230.92,230.9202,230.92,230.9202,1846.0,230.9232,1756386480000,16,,2025-08-28 09:08:00-04:00
230.99,231.0952,230.99,231.0952,2984.0,231.0128,1756386540000,68,,2025-08-28 09:09:00-04:00
231.05,231.21,231.05,231.21,4766.0,231.0966,1756386600000,93,,2025-08-28 09:10:00-04:00
231.14,231.16,231.1017,231.16,2744.0,231.149,1756386660000,67,,2025-08-28 09:11:00-04:00
231.2001,231.25,231.2,231.25,3694.0,231.2227,1756386720000,104,,2025-08-28 09:12:00-04:00
231.25,231.27,231.25,231.27,1002.0,231.2472,1756386780000,40,,2025-08-28 09:13:00-04:00
231.27,231.27,231.27,231.27,1219.0,231.2526,1756386840000,37,,2025-08-28 09:14:00-04:00
231.25,231.4,231.25,231.4,7020.0,231.3102,1756386900000,154,,2025-08-28 09:15:00-04:00
231.34,231.34,231.34,231.34,557.0,231.2987,1756386960000,28,,2025-08-28 09:16:00-04:00
231.3,231.3,231.3,231.3,1083.0,231.3096,1756387020000,49,,2025-08-28 09:17:00-04:00
231.34,231.45,231.34,231.41,7680.0,231.3904,1756387080000,138,,2025-08-28 09:18:00-04:00
231.4499,231.4986,231.43,231.46,2710.0,231.4698,1756387140000,80,,2025-08-28 09:19:00-04:00
231.4701,231.4701,231.43,231.43,4984.0,231.4579,1756387200000,38,,2025-08-28 09:20:00-04:00
231.4,231.4,231.35,231.4,4670.0,231.3787,1756387260000,42,,2025-08-28 09:21:00-04:00
231.4,231.4,231.3551,231.3551,704.0,231.3743,1756387320000,31,,2025-08-28 09:22:00-04:00
231.33,231.48,231.33,231.48,13061.0,231.431,1756387380000,217,,2025-08-28 09:23:00-04:00
231.5,231.5,231.5,231.5,1456.0,231.4939,1756387440000,95,,2025-08-28 09:24:00-04:00
231.31,231.4777,231.15,231.25,7981.0,231.2599,1756387500000,143,,2025-08-28 09:25:00-04:00
231.28,231.4,231.25,231.35,856196.0,230.496,1756387560000,83,,2025-08-28 09:26:00-04:00
231.35,231.4,230.88,231.23,20043.0,231.2086,1756387620000,242,,2025-08-28 09:27:00-04:00
231.23,231.23,230.73,230.85,33653.0,230.8914,1756387680000,297,,2025-08-28 09:28:00-04:00
230.87,230.93,230.78,230.82,20243.0,230.8741,1756387740000,145,,2025-08-28 09:29:00-04:00
230.82,230.85,229.335,229.53,934339.0,230.2927,1756387800000,12408,,2025-08-28 09:30:00-04:00
229.548,230.37,229.525,230.16,252508.0,230.1074,1756387860000,3406,,2025-08-28 09:31:00-04:00
230.15,230.5983,230.01,230.45,164014.0,230.2652,1756387920000,2385,,2025-08-28 09:32:00-04:00
230.47,230.49,230.2506,230.43,129477.0,230.3932,1756387980000,2366,,2025-08-28 09:33:00-04:00
230.45,230.83,230.43,230.715,109437.0,230.6204,1756388040000,1828,,2025-08-28 09:34:00-04:00
230.715,230.719106,230.16,230.47,142220.0,230.4425,1756388100000,2161,,2025-08-28 09:35:00-04:00
230.48,230.6001,230.33,230.375,103451.0,230.4687,1756388160000,1634,,2025-08-28 09:36:00-04:00
230.3714,230.47,230.08,230.13,137581.0,230.2965,1756388220000,2010,,2025-08-28 09:37:00-04:00
230.17,230.5,230.15,230.37,99659.0,230.334,1756388280000,1906,,2025-08-28 09:38:00-04:00
230.375,230.4527,230.24,230.2674,67957.0,230.3618,1756388340000,1456,,2025-08-28 09:39:00-04:00
230.29,230.34,230.065,230.3397,86681.0,230.1812,1756388400000,1646,,2025-08-28 09:40:00-04:00
230.3316,230.365,230.2,230.25,56724.0,230.2763,1756388460000,1211,,2025-08-28 09:41:00-04:00
230.27,230.76,230.27,230.73,92215.0,230.5661,1756388520000,1714,,2025-08-28 09:42:00-04:00
230.735,230.88,230.4,230.4,145763.0,230.7705,1756388580000,2165,,2025-08-28 09:43:00-04:00
230.4,230.46,230.2111,230.4125,114112.0,230.3301,1756388640000,1804,,2025-08-28 09:44:00-04:00
230.43,230.59,230.24,230.32,89216.0,230.4064,1756388700000,1535,,2025-08-28 09:45:00-04:00
230.32,230.6417,230.31,230.515,75874.0,230.483,1756388760000,1395,,2025-08-28 09:46:00-04:00
230.525,230.69,230.37,230.47,62222.0,230.5227,1756388820000,1210,,2025-08-28 09:47:00-04:00
230.46,230.63,230.32,230.5901,60134.0,230.4466,1756388880000,1145,,2025-08-28 09:48:00-04:00
230.6,230.6196,230.34,230.36,59100.0,230.4318,1756388940000,1188,,2025-08-28 09:49:00-04:00
230.361,230.42,229.96,230.11,140792.0,230.1594,1756389000000,2272,,2025-08-28 09:50:00-04:00
230.09,230.09,229.84,229.88,107269.0,229.9431,1756389060000,1827,,2025-08-28 09:51:00-04:00
229.88,229.91,229.67,229.89,120167.0,229.8054,1756389120000,1914,,2025-08-28 09:52:00-04:00
229.88,230.06,229.71,230.035,141171.0,229.8972,1756389180000,1499,,2025-08-28 09:53:00-04:00
230.01,230.28,229.98,230.08,81357.0,230.1344,1756389240000,1290,,2025-08-28 09:54:00-04:00
230.085,230.2399,230.04,230.22,57816.0,230.1451,1756389300000,1024,,2025-08-28 09:55:00-04:00
230.22,230.2442,229.95,229.95,85822.0,230.1223,1756389360000,1344,,2025-08-28 09:56:00-04:00
229.95,230.21,229.88,230.155,82391.0,230.0685,1756389420000,1175,,2025-08-28 09:57:00-04:00
230.155,230.3173,230.06,230.25,62722.0,230.2308,1756389480000,1036,,2025-08-28 09:58:00-04:00
230.2563,230.49,230.25,230.49,97828.0,230.3807,1756389540000,1441,,2025-08-28 09:59:00-04:00
230.44,230.53,230.25,230.28,127953.0,230.4272,1756389600000,2021,,2025-08-28 10:00:00-04:00
230.34,230.5464,230.33,230.5464,57198.0,230.4303,1756389660000,1212,,2025-08-28 10:01:00-04:00
230.52,230.6,230.4701,230.515,69504.0,230.5472,1756389720000,1302,,2025-08-28 10:02:00-04:00
230.49,230.51,230.2,230.41,146121.0,230.3714,1756389780000,2034,,2025-08-28 10:03:00-04:00
230.405,230.44,230.04,230.04,71907.0,230.1981,1756389840000,2391,,2025-08-28 10:04:00-04:00
230.05,230.42,230.01,230.361,96734.0,230.2504,1756389900000,1957,,2025-08-28 10:05:00-04:00
230.34,230.77,230.33,230.76,63452.0,230.5838,1756389960000,1329,,2025-08-28 10:06:00-04:00
230.7426,230.7995,230.61,230.635,51554.0,230.7076,1756390020000,1009,,2025-08-28 10:07:00-04:00
230.6226,230.74,230.61,230.69,45447.0,230.6845,1756390080000,1115,,2025-08-28 10:08:00-04:00
230.69,230.77,230.6,230.68,77811.0,230.6983,1756390140000,1446,,2025-08-28 10:09:00-04:00
230.67,230.78,230.59,230.62,47131.0,230.6926,1756390200000,1174,,2025-08-28 10:10:00-04:00
230.63,230.84,230.63,230.84,46673.0,230.7189,1756390260000,1157,,2025-08-28 10:11:00-04:00
230.84,230.9,230.76,230.885,75729.0,230.8342,1756390320000,1728,,2025-08-28 10:12:00-04:00
230.885,230.9,230.65,230.75,48674.0,230.7883,1756390380000,1307,,2025-08-28 10:13:00-04:00
230.77,230.87,230.59,230.69,89148.0,230.7171,1756390440000,1565,,2025-08-28 10:14:00-04:00
230.705,230.75,230.51,230.55,74798.0,230.666,1756390500000,1243,,2025-08-28 10:15:00-04:00
230.54,230.58,230.395,230.555,47616.0,230.5217,1756390560000,946,,2025-08-28 10:16:00-04:00
230.54,230.54,230.3905,230.475,90023.0,230.3156,1756390620000,899,,2025-08-28 10:17:00-04:00
230.48,230.55,230.35,230.52,43393.0,230.4471,1756390680000,896,,2025-08-28 10:18:00-04:00
230.5249,230.66,230.51,230.65,46851.0,230.5962,1756390740000,965,,2025-08-28 10:19:00-04:00
230.6235,230.7399,230.6235,230.64,52187.0,230.577,1756390800000,921,,2025-08-28 10:20:00-04:00
230.6201,230.7,230.54,230.62,50770.0,230.6375,1756390860000,1002,,2025-08-28 10:21:00-04:00
230.595,230.69,230.57,230.5765,50051.0,230.6318,1756390920000,877,,2025-08-28 10:22:00-04:00
230.56,230.58,230.45,230.52,41846.0,230.5207,1756390980000,770,,2025-08-28 10:23:00-04:00
230.53,230.55,230.434,230.535,38126.0,230.5044,1756391040000,674,,2025-08-28 10:24:00-04:00
230.52,230.575,230.33,230.36,74907.0,230.4703,1756391100000,929,,2025-08-28 10:25:00-04:00
230.355,230.485,230.3503,230.36,75742.0,230.4067,1756391160000,910,,2025-08-28 10:26:00-04:00
230.36,230.51,230.35,230.4446,42174.0,230.446,1756391220000,852,,2025-08-28 10:27:00-04:00
230.45,230.455,230.28,230.36,57406.0,230.3613,1756391280000,927,,2025-08-28 10:28:00-04:00
230.34,230.44,230.32,230.4158,43115.0,230.3773,1756391340000,823,,2025-08-28 10:29:00-04:00
230.44,230.5,230.35,230.3906,47286.0,230.4483,1756391400000,857,,2025-08-28 10:30:00-04:00
230.4276,230.56,230.4276,230.56,58052.0,230.5013,1756391460000,883,,2025-08-28 10:31:00-04:00
230.59,230.67,230.55,230.6601,69697.0,230.6035,1756391520000,851,,2025-08-28 10:32:00-04:00
230.655,230.84,230.655,230.76,56913.0,230.75,1756391580000,1131,,2025-08-28 10:33:00-04:00
230.78,230.8144,230.56,230.58,49153.0,230.686,1756391640000,836,,2025-08-28 10:34:00-04:00
230.595,230.595,230.37,230.4534,43937.0,230.4641,1756391700000,897,,2025-08-28 10:35:00-04:00
230.48,230.53,230.43,230.48,34947.0,230.4743,1756391760000,797,,2025-08-28 10:36:00-04:00
230.49,230.645,230.485,230.53,31630.0,230.5722,1756391820000,697,,2025-08-28 10:37:00-04:00
230.54,230.63,230.48,230.6184,29783.0,230.5624,1756391880000,675,,2025-08-28 10:38:00-04:00
230.64,230.78,230.6397,230.76,51766.0,230.7488,1756391940000,706,,2025-08-28 10:39:00-04:00
230.78,230.89,230.7,230.83,79650.0,230.8209,1756392000000,1179,,2025-08-28 10:40:00-04:00
230.825,230.83,230.66,230.7435,41443.0,230.7573,1756392060000,802,,2025-08-28 10:41:00-04:00
230.75,230.96,230.715,230.91,72031.0,230.8533,1756392120000,1033,,2025-08-28 10:42:00-04:00
